date,case
01/16/20,1
01/17/20,0
01/18/20,0
01/19/20,0
01/20/20,0
01/21/20,0
01/22/20,0
01/23/20,0
01/24/20,1
01/25/20,1
01/26/20,1
01/27/20,0
01/28/20,3
01/29/20,1
01/30/20,3
01/31/20,1
02/01/20,0
02/02/20,0
02/03/20,0
02/04/20,2
02/05/20,2
02/06/20,0
02/07/20,0
02/08/20,0
02/09/20,0
02/10/20,0
02/11/20,0
02/12/20,1
02/13/20,4
02/14/20,7
02/15/20,12
02/16/20,6
02/17/20,7
02/18/20,7
02/19/20,10
02/20/20,9
02/21/20,11
02/22/20,27
02/23/20,12
02/24/20,12
02/25/20,8
02/26/20,22
02/27/20,24
02/28/20,20
02/29/20,9
03/01/20,15
03/02/20,14
03/03/20,16
03/04/20,33
03/05/20,31
03/06/20,59
03/07/20,47
03/08/20,33
03/09/20,26
03/10/20,54
03/11/20,52
03/12/20,55
03/13/20,40
03/14/20,62
03/15/20,33
03/16/20,15
03/17/20,44
03/18/20,39
03/19/20,36
03/20/20,53
03/21/20,34
03/22/20,42
03/23/20,38
03/24/20,65
03/25/20,93
03/26/20,96
03/27/20,104
03/28/20,194
03/29/20,185
03/30/20,74
03/31/20,218
04/01/20,224
04/02/20,253
04/03/20,337
04/04/20,370
04/05/20,386
04/06/20,270
04/07/20,377
04/08/20,550
04/09/20,572
04/10/20,708
04/11/20,676
04/12/20,571
04/13/20,333
04/14/20,511
04/15/20,511
04/16/20,596
04/17/20,575
04/18/20,590
04/19/20,372
04/20/20,365
04/21/20,374
04/22/20,450
04/23/20,445
04/24/20,451
04/25/20,374
04/26/20,221
04/27/20,189
04/28/20,284
04/29/20,227
04/30/20,199
05/01/20,266
05/02/20,302
05/03/20,204
05/04/20,177
05/05/20,120
05/06/20,106
05/07/20,96
05/08/20,89
05/09/20,108
05/10/20,68
05/11/20,50
05/12/20,80
05/13/20,54
05/14/20,100
05/15/20,52
05/16/20,57
05/17/20,30
05/18/20,30
05/19/20,31
05/20/20,38
05/21/20,43
05/22/20,31
05/23/20,29
05/24/20,40
05/25/20,20
05/26/20,27
05/27/20,37
05/28/20,61
05/29/20,64
05/30/20,46
05/31/20,32
06/01/20,36
06/02/20,51
06/03/20,26
06/04/20,45
06/05/20,41
06/06/20,45
06/07/20,32
06/08/20,22
06/09/20,30
06/10/20,36
06/11/20,40
06/12/20,57
06/13/20,43
06/14/20,62
06/15/20,60
06/16/20,42
06/17/20,43
06/18/20,68
06/19/20,54
06/20/20,65
06/21/20,49
06/22/20,40
06/23/20,53
06/24/20,89
06/25/20,79
06/26/20,99
06/27/20,88
06/28/20,111
06/29/20,110
06/30/20,132
07/01/20,125
07/02/20,194
07/03/20,249
07/04/20,268
07/05/20,195
07/06/20,172
07/07/20,208
07/08/20,203
07/09/20,352
07/10/20,420
07/11/20,373
07/12/20,391
07/13/20,248
07/14/20,327
07/15/20,440
07/16/20,619
